userEmail,eventName,eventId
kra@gmail.com,Syracuse Orange at Louisville Cardinals Football,104017408
gri@gmal.com,Kentucky Wildcats at Georgia Bulldogs Baseball,104371801
kra@gmail.com,Rhode Island Rams at Virginia Commonwealth Rams Basketball,104315035
kra@gmail.com,Maine Black Bears at Northeastern Huskies Basketball,104314555
kra@gmail.com,Harrisburg Senators at Reading Fightin Phils,104312923
gri@gmal.com,Rancho Cucamonga Quakes at Stockton Ports,104312628
gri@gmal.com,Saint Francis PA Red Flash at Delaware State Hornets Football,104128181
kp@yahoo.com,Hampton Pirates at Monmouth Hawks Football,104076008
kp@yahoo.com,Sacred Heart Pioneers Football at Robert Morris Colonials Football,104153000
kp@yahoo.com,Virginia Tech Hokies at Syracuse Orange Womens Basketball,104370771
kra@gmail.com,Stetson Hatters at Morehead State Eagles Football,104067752
kra@gmail.com,PARKING PASSES ONLY Dallas Cowboys at Chicago Bears,104119905
kra@gmail.com,PARKING PASSES ONLY Houston Roughnecks at Dallas Renegades,104414838
kra@gmail.com,Group C - Bucharest - Match 6 - European Football Championship 2020,104317264
kra@gmail.com,PARKING PASSES ONLY Dallas Cowboys at Chicago Bears,104119905
kra@gmail.com,PARKING PASSES ONLY Dallas Cowboys at Chicago Bears,104119905
kra@gmail.com,PARKING PASSES ONLY Dallas Cowboys at Chicago Bears,104119905
kra@gmail.com,PARKING PASSES ONLY Houston Roughnecks at Dallas Renegades,104414838
kra@gmail.com,PARKING PASSES ONLY Belk Bowl,104440715
kra@gmail.com,PARKING PASSES ONLY New York Jets at Cincinnati Bengals,104119925
kra@gmail.com,Greensboro Grasshoppers at Hickory Crawdads,104312975
kra@gmail.com,Campbell Fighting Camels at Charleston Southern Buccaneers Football,103983150
kra@gmail.com,PARKING PASSES ONLY Dallas Cowboys at Chicago Bears,104119905
kra@gmail.com,West Coast Baptist Eagles at Southern Utah Thunderbirds Basketball,104350793
kra@gmail.com,SS Lazio vs Inter Milan Tickets,104247564
jp@yahoo.com,Pepperdine Waves at BYU Cougars Basketball,104278355
jp@yahoo.com,Marquette Golden Eagles at Seton Hall Pirates Basketball,104315525
